word,category,emoji,difficulty
жираф,Повний рандом,🎲,easy
слон,Повний рандом,🎲,easy
зебра,Повний рандом,🎲,easy
тигр,Повний рандом,🎲,easy
лев,Повний рандом,🎲,easy
ведмідь,Повний рандом,🎲,easy
вовк,Повний рандом,🎲,easy
лисиця,Повний рандом,🎲,easy
заєць,Повний рандом,🎲,easy
білка,Повний рандом,🎲,easy
кіт,Повний рандом,🎲,easy
собака,Повний рандом,🎲,easy
корова,Повний рандом,🎲,easy
коза,Повний рандом,🎲,easy
свиня,Повний рандом,🎲,easy
кінь,Повний рандом,🎲,easy
курка,Повний рандом,🎲,easy
качка,Повний рандом,🎲,easy
гусак,Повний рандом,🎲,easy
індик,Повний рандом,🎲,easy
миша,Повний рандом,🎲,easy
щур,Повний рандом,🎲,easy
їжак,Повний рандом,🎲,easy
кріль,Повний рандом,🎲,easy
олень,Повний рандом,🎲,easy
лось,Повний рандом,🎲,easy
кабан,Повний рандом,🎲,easy
бобер,Повний рандом,🎲,easy
борсук,Повний рандом,🎲,easy
єнот,Повний рандом,🎲,easy
дельфін,Повний рандом,🎲,easy
кит,Повний рандом,🎲,easy
акула,Повний рандом,🎲,easy
медуза,Повний рандом,🎲,easy
краб,Повний рандом,🎲,easy
рак,Повний рандом,🎲,easy
восьминіг,Повний рандом,🎲,easy
морський коник,Повний рандом,🎲,easy
тюлень,Повний рандом,🎲,easy
морж,Повний рандом,🎲,easy
орел,Повний рандом,🎲,easy
сова,Повний рандом,🎲,easy
папуга,Повний рандом,🎲,easy
пінгвін,Повний рандом,🎲,easy
страус,Повний рандом,🎲,easy
лебідь,Повний рандом,🎲,easy
журавель,Повний рандом,🎲,easy
лелека,Повний рандом,🎲,easy
ворона,Повний рандом,🎲,easy
голуб,Повний рандом,🎲,easy
метелик,Повний рандом,🎲,easy
бджола,Повний рандом,🎲,easy
мураха,Повний рандом,🎲,easy
павук,Повний рандом,🎲,easy
муха,Повний рандом,🎲,easy
комар,Повний рандом,🎲,easy
сонечко,Повний рандом,🎲,easy
кузнечик,Повний рандом,🎲,easy
гусениця,Повний рандом,🎲,easy
жук,Повний рандом,🎲,easy
яблуко,Повний рандом,🎲,easy
банан,Повний рандом,🎲,easy
апельсин,Повний рандом,🎲,easy
груша,Повний рандом,🎲,easy
виноград,Повний рандом,🎲,easy
полуниця,Повний рандом,🎲,easy
кавун,Повний рандом,🎲,easy
диня,Повний рандом,🎲,easy
ківі,Повний рандом,🎲,easy
лимон,Повний рандом,🎲,easy
хліб,Повний рандом,🎲,easy
масло,Повний рандом,🎲,easy
сир,Повний рандом,🎲,easy
молоко,Повний рандом,🎲,easy
яйце,Повний рандом,🎲,easy
цукор,Повний рандом,🎲,easy
сіль,Повний рандом,🎲,easy
мед,Повний рандом,🎲,easy
борщ,Повний рандом,🎲,easy
вареники,Повний рандом,🎲,easy
піца,Повний рандом,🎲,easy
сосиска,Повний рандом,🎲,easy
морозиво,Повний рандом,🎲,easy
печиво,Повний рандом,🎲,easy
цукерка,Повний рандом,🎲,easy
шоколад,Повний рандом,🎲,easy
торт,Повний рандом,🎲,easy
млинець,Повний рандом,🎲,easy
суп,Повний рандом,🎲,easy
каша,Повний рандом,🎲,easy
футбол,Повний рандом,🎲,easy
баскетбол,Повний рандом,🎲,easy
волейбол,Повний рандом,🎲,easy
теніс,Повний рандом,🎲,easy
хокей,Повний рандом,🎲,easy
плавання,Повний рандом,🎲,easy
біг,Повний рандом,🎲,easy
велосипед,Повний рандом,🎲,easy
лижі,Повний рандом,🎲,easy
ковзани,Повний рандом,🎲,easy
м'яч,Повний рандом,🎲,easy
ракетка,Повний рандом,🎲,easy
ворота,Повний рандом,🎲,easy
медаль,Повний рандом,🎲,easy
кубок,Повний рандом,🎲,easy
стадіон,Повний рандом,🎲,easy
суддя,Повний рандом,🎲,easy
тренер,Повний рандом,🎲,easy
команда,Повний рандом,🎲,easy
перемога,Повний рандом,🎲,easy
телевізор,Повний рандом,🎲,easy
телефон,Повний рандом,🎲,easy
комп'ютер,Повний рандом,🎲,easy
годинник,Повний рандом,🎲,easy
лампа,Повний рандом,🎲,easy
дзеркало,Повний рандом,🎲,easy
ножиці,Повний рандом,🎲,easy
олівець,Повний рандом,🎲,easy
ручка,Повний рандом,🎲,easy
зошит,Повний рандом,🎲,easy
книга,Повний рандом,🎲,easy
газета,Повний рандом,🎲,easy
журнал,Повний рандом,🎲,easy
лист,Повний рандом,🎲,easy
конверт,Повний рандом,🎲,easy
марка,Повний рандом,🎲,easy
стілець,Повний рандом,🎲,easy
стіл,Повний рандом,🎲,easy
ліжко,Повний рандом,🎲,easy
шафа,Повний рандом,🎲,easy
вікно,Повний рандом,🎲,easy
двері,Повний рандом,🎲,easy
дах,Повний рандом,🎲,easy
підлога,Повний рандом,🎲,easy
стіна,Повний рандом,🎲,easy
сходи,Повний рандом,🎲,easy
ключ,Повний рандом,🎲,easy
замок,Повний рандом,🎲,easy
парасолька,Повний рандом,🎲,easy
валіза,Повний рандом,🎲,easy
сумка,Повний рандом,🎲,easy
гаманець,Повний рандом,🎲,easy
окуляри,Повний рандом,🎲,easy
капелюх,Повний рандом,🎲,easy
шарф,Повний рандом,🎲,easy
рукавички,Повний рандом,🎲,easy
шкарпетки,Повний рандом,🎲,easy
светр,Повний рандом,🎲,easy
куртка,Повний рандом,🎲,easy
джинси,Повний рандом,🎲,easy
сукня,Повний рандом,🎲,easy
спідниця,Повний рандом,🎲,easy
краватка,Повний рандом,🎲,easy
пояс,Повний рандом,🎲,easy
черевики,Повний рандом,🎲,easy
сандалі,Повний рандом,🎲,easy
капці,Повний рандом,🎲,easy
піжама,Повний рандом,🎲,easy
халат,Повний рандом,🎲,easy
костюм,Повний рандом,🎲,easy
дощ,Повний рандом,🎲,easy
сніг,Повний рандом,🎲,easy
вітер,Повний рандом,🎲,easy
гроза,Повний рандом,🎲,easy
веселка,Повний рандом,🎲,easy
хмара,Повний рандом,🎲,easy
сонце,Повний рандом,🎲,easy
місяць,Повний рандом,🎲,easy
зірка,Повний рандом,🎲,easy
туман,Повний рандом,🎲,easy
море,Повний рандом,🎲,easy
річка,Повний рандом,🎲,easy
озеро,Повний рандом,🎲,easy
гора,Повний рандом,🎲,easy
ліс,Повний рандом,🎲,easy
поле,Повний рандом,🎲,easy
пустеля,Повний рандом,🎲,easy
острів,Повний рандом,🎲,easy
водоспад,Повний рандом,🎲,easy
печера,Повний рандом,🎲,easy
весна,Повний рандом,🎲,easy
літо,Повний рандом,🎲,easy
осінь,Повний рандом,🎲,easy
зима,Повний рандом,🎲,easy
ранок,Повний рандом,🎲,easy
день,Повний рандом,🎲,easy
вечір,Повний рандом,🎲,easy
ніч,Повний рандом,🎲,easy
світанок,Повний рандом,🎲,easy
захід сонця,Повний рандом,🎲,easy
радість,Повний рандом,🎲,easy
сум,Повний рандом,🎲,easy
страх,Повний рандом,🎲,easy
злість,Повний рандом,🎲,easy
подив,Повний рандом,🎲,easy
сором,Повний рандом,🎲,easy
гордість,Повний рандом,🎲,easy
любов,Повний рандом,🎲,easy
ненависть,Повний рандом,🎲,easy
заздрість,Повний рандом,🎲,easy
сміх,Повний рандом,🎲,easy
плач,Повний рандом,🎲,easy
посмішка,Повний рандом,🎲,easy
обійми,Повний рандом,🎲,easy
поцілунок,Повний рандом,🎲,easy
привіт,Повний рандом,🎲,easy
прощання,Повний рандом,🎲,easy
подарунок,Повний рандом,🎲,easy
свято,Повний рандом,🎲,easy
день народження,Повний рандом,🎲,easy
мама,Повний рандом,🎲,easy
тато,Повний рандом,🎲,easy
бабуся,Повний рандом,🎲,easy
дідусь,Повний рандом,🎲,easy
сестра,Повний рандом,🎲,easy
брат,Повний рандом,🎲,easy
друг,Повний рандом,🎲,easy
сусід,Повний рандом,🎲,easy
вчитель,Повний рандом,🎲,easy
лікар,Повний рандом,🎲,easy
поліцейський,Повний рандом,🎲,easy
пожежник,Повний рандом,🎲,easy
кухар,Повний рандом,🎲,easy
водій,Повний рандом,🎲,easy
продавець,Повний рандом,🎲,easy
перукар,Повний рандом,🎲,easy
художник,Повний рандом,🎲,easy
музикант,Повний рандом,🎲,easy
актор,Повний рандом,🎲,easy
співак,Повний рандом,🎲,easy
машина,Повний рандом,🎲,easy
автобус,Повний рандом,🎲,easy
потяг,Повний рандом,🎲,easy
літак,Повний рандом,🎲,easy
корабель,Повний рандом,🎲,easy
мотоцикл,Повний рандом,🎲,easy
трамвай,Повний рандом,🎲,easy
метро,Повний рандом,🎲,easy
таксі,Повний рандом,🎲,easy
дорога,Повний рандом,🎲,easy
міст,Повний рандом,🎲,easy
світлофор,Повний рандом,🎲,easy
зупинка,Повний рандом,🎲,easy
вокзал,Повний рандом,🎲,easy
аеропорт,Повний рандом,🎲,easy
порт,Повний рандом,🎲,easy
гараж,Повний рандом,🎲,easy
бензин,Повний рандом,🎲,easy
колесо,Повний рандом,🎲,easy
голова,Повний рандом,🎲,easy
рука,Повний рандом,🎲,easy
нога,Повний рандом,🎲,easy
око,Повний рандом,🎲,easy
вухо,Повний рандом,🎲,easy
ніс,Повний рандом,🎲,easy
рот,Повний рандом,🎲,easy
зуб,Повний рандом,🎲,easy
волосся,Повний рандом,🎲,easy
палець,Повний рандом,🎲,easy
серце,Повний рандом,🎲,easy
живіт,Повний рандом,🎲,easy
спина,Повний рандом,🎲,easy
плече,Повний рандом,🎲,easy
коліно,Повний рандом,🎲,easy
лікоть,Повний рандом,🎲,easy
долоня,Повний рандом,🎲,easy
п'ята,Повний рандом,🎲,easy
